1:ItNr	1a:SrchDirNr	1b:LineItNr	2:Metric	3:StepLength	4a:||Gradient||	4b:||SearchDir||	4c:DirGradient	5:Phase	6a:Wolfe1	6b:Wolfe2	7:LinSrchStopCondition	Time[ms]
0	0	0	-0.705085	5.000000	0.006448	1.000000	-0.000025	Main	true	true	WolfeSatisfied	2012.5
1	1	0	-0.705924	5.000000	0.006337	2.880925	-0.000958	Main	true	true	WolfeSatisfied	872.9
2	2	1	-0.705072	1.725692	0.006355	7.355049	0.006891	Main	true	true	WolfeSatisfied	1453.4
3	3	0	-0.706233	5.000000	0.006373	7.129651	-0.000019	Main	true	true	WolfeSatisfied	853.2
4	4	1	-0.700115	1.608958	0.005897	17.091662	0.001511	Main	true	true	WolfeSatisfied	1374.4
5	5	1	-0.704729	1.674329	0.006499	15.261261	0.003243	Main	true	true	WolfeSatisfied	1302.2
6	6	1	-0.709375	1.624586	0.006128	13.300281	0.004158	Main	true	true	WolfeSatisfied	1486.3
7	7	0	-0.702712	5.000000	0.005973	11.035435	-0.000966	Main	true	true	WolfeSatisfied	877.7
8	8	1	-0.702015	1.638607	0.005798	29.056538	0.001951	Main	true	true	WolfeSatisfied	1279.3
9	9	2	-0.700257	0.545019	0.006635	25.548211	0.017036	Main	true	true	WolfeSatisfied	1849.0
10	10	0	-0.707174	5.000000	0.005871	8.544382	0.000105	Main	true	true	WolfeSatisfied	1280.9
11	11	1	-0.704485	1.612568	0.005967	19.586890	0.003503	Main	true	true	WolfeSatisfied	2001.9
12	12	1	-0.702824	1.713966	0.005612	17.634375	0.004123	Main	true	true	WolfeSatisfied	1898.7
13	13	1	-0.708391	1.635682	0.006125	17.849100	-0.000204	Main	true	true	WolfeSatisfied	2189.8
14	14	1	-0.708033	1.649211	0.006298	17.361514	0.002373	Main	true	true	WolfeSatisfied	1714.4
15	15	1	-0.707394	1.672147	0.006336	14.378206	0.003405	Main	true	true	WolfeSatisfied	1937.0
16	16	1	-0.710596	1.652389	0.005666	12.688503	0.001679	Main	true	true	WolfeSatisfied	2025.0
17	17	1	-0.706160	1.642643	0.006402	11.465350	0.002613	Main	true	true	WolfeSatisfied	1883.9
18	18	1	-0.713857	1.676670	0.006364	10.476553	0.000637	Main	true	true	WolfeSatisfied	1333.5
19	19	0	-0.709458	5.000000	0.005587	8.766397	0.002531	Main	true	true	WolfeSatisfied	871.1
20	20	1	-0.710823	1.658868	0.005642	21.316625	0.005551	Main	true	true	WolfeSatisfied	1371.5
21	21	1	-0.706479	1.648575	0.005546	21.606928	-0.001688	Main	true	true	WolfeSatisfied	1326.1
22	22	2	-0.712618	0.540055	0.006157	21.881022	0.005613	Main	true	true	WolfeSatisfied	1888.9
23	23	1	-0.711682	1.618833	0.006872	8.628218	-0.004453	Main	true	true	WolfeSatisfied	1442.5
24	24	0	-0.706514	5.000000	0.005774	6.050114	0.001620	Main	true	true	WolfeSatisfied	913.4
