1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.404024	2.000000	0.727440	941.4
1	-0.413619	1.000000	1.087493	220.1
2	-0.417910	1.000000	0.921865	220.3
3	-0.422796	0.500000	0.846088	194.3
4	-0.424575	0.250000	1.001686	206.1
5	-0.426544	0.250000	0.870274	207.5
6	-0.427829	0.125000	0.895177	196.4
7	-0.428343	0.125000	0.852708	191.9
8	-0.428935	0.125000	0.828936	208.7
9	-0.431774	0.125000	0.865684	204.1
10	-0.433004	0.125000	0.897851	202.3
11	-0.434252	0.125000	0.945625	221.5
12	-0.435456	0.125000	0.890248	195.4
13	-0.436235	0.062500	0.907112	199.2
14	-0.436768	0.062500	0.909068	211.7
15	-0.437766	0.062500	0.888977	203.6
16	-0.439008	0.062500	0.874979	206.8
17	-0.440121	0.062500	0.896547	206.5
18	-0.441007	0.062500	0.917028	196.6
19	-0.441821	0.062500	0.906314	200.0
20	-0.442813	0.062500	0.919412	212.7
21	-0.443670	0.062500	0.934323	196.5
22	-0.444848	0.062500	0.890753	198.6
