1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.484311	2.000000	0.735715	879.8
1	-0.485568	1.000000	0.726642	200.2
2	-0.491367	1.000000	0.745266	210.6
3	-0.493413	0.500000	0.633845	206.5
4	-0.496776	0.500000	0.533287	201.3
5	-0.498453	0.500000	0.629341	211.5
6	-0.499717	0.250000	0.628860	201.5
7	-0.500857	0.250000	0.592078	207.4
8	-0.501753	0.125000	0.518408	218.6
9	-0.502145	0.125000	0.540578	201.2
10	-0.502787	0.062500	0.514849	197.7
11	-0.503088	0.062500	0.494478	216.7
12	-0.503827	0.062500	0.475773	208.1
