1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.001624	627.201626	0.009176	473.2
1	-1.119580	623.504937	0.011484	8.4
2	-0.723519	619.865785	0.012094	8.1
3	-1.155187	616.282728	0.009509	7.5
4	-0.222276	612.754375	0.001562	9.6
5	-1.270204	609.279381	0.016022	8.7
6	-0.959632	605.856447	0.012168	8.5
7	-0.016009	602.484317	0.000165	8.5
8	-0.626761	599.161779	0.006667	7.7
9	-0.635581	595.887656	0.006548	8.2
10	-0.739151	592.660813	0.004028	7.9
11	-0.627624	589.480151	0.009219	9.1
12	-0.796796	586.344606	0.009728	8.7
13	-0.859335	583.253145	0.012029	10.8
14	-1.098483	580.204771	0.015846	7.8
15	-1.205615	577.198517	0.012508	7.8
16	-1.051564	574.233444	0.010559	9.9
17	-1.155955	571.308645	0.007976	7.6
18	-1.218870	568.423237	0.015825	12.0
19	-0.550141	565.576365	0.008030	8.3
20	-0.008092	562.767201	0.000653	8.2
21	-0.360079	559.994938	0.003998	7.9
22	-0.578887	557.258797	0.008151	9.0
23	-0.981735	554.558018	0.008782	8.7
24	-1.242897	551.891865	0.011510	8.5
25	-0.978965	549.259621	0.011353	8.2
26	-1.164207	546.660592	0.006567	7.5
27	-0.941723	544.094102	0.010754	13.1
28	-0.954303	541.559494	0.015719	12.3
29	-1.322132	539.056129	0.015663	13.0
30	-1.051390	536.583387	0.010771	15.1
31	-0.277707	534.140663	0.003921	8.0
32	-0.180764	531.727370	0.003251	9.4
33	-0.733514	529.342935	0.008874	8.6
34	-1.259223	526.986802	0.023295	9.6
35	-1.079425	524.658430	0.012270	10.2
36	-0.520741	522.357290	0.004650	11.6
37	-0.299742	520.082868	0.003985	7.7
38	-1.072611	517.834665	0.011807	8.0
39	-1.004033	515.612193	0.007797	9.1
40	-0.670884	513.414976	0.010818	8.0
41	-0.654323	511.242551	0.006701	8.5
42	-1.253758	509.094468	0.011125	10.5
43	-1.051120	506.970285	0.010683	10.2
44	-0.718661	504.869574	0.009739	8.7
45	-0.679834	502.791916	0.007735	7.8
46	-0.476841	500.736903	0.002971	8.9
47	-1.210074	498.704137	0.014692	7.8
48	-1.155904	496.693228	0.014917	8.3
49	-0.492855	494.703798	0.006018	9.4
50	-0.739949	492.735476	0.004686	9.5
51	-0.042435	490.787900	0.001695	7.3
52	-0.825020	488.860718	0.007366	8.9
53	-1.251983	486.953585	0.011385	8.6
54	-1.218923	485.066164	0.010601	7.9
55	-0.865606	483.198126	0.010702	8.5
56	-1.049767	481.349149	0.011160	9.4
57	-0.662675	479.518920	0.008881	10.3
58	-0.869536	477.707132	0.007784	8.4
59	-1.042399	475.913485	0.011534	8.4
60	-0.683018	474.137684	0.005694	8.2
61	-0.971072	472.379445	0.011635	7.8
62	-0.017924	470.638485	0.000092	7.4
63	-0.091478	468.914531	0.002028	7.9
64	-0.523410	467.207315	0.007747	8.2
65	-1.134872	465.516573	0.007726	8.2
66	-0.414571	463.842050	0.007371	7.5
67	-0.573359	462.183494	0.008874	8.3
68	-0.685676	460.540658	0.007255	8.6
69	-0.598180	458.913303	0.005922	8.6
70	-0.157568	457.301192	0.002253	7.9
71	-1.278777	455.704096	0.015660	13.6
72	-0.540028	454.121787	0.004060	12.8
73	-1.346309	452.554045	0.012561	8.6
74	-0.953089	451.000653	0.007590	7.5
75	-1.231101	449.461399	0.013839	8.1
76	-0.166897	447.936075	0.003767	10.2
77	-0.810638	446.424477	0.006532	10.2
78	-0.443346	444.926406	0.004231	7.7
79	-1.091723	443.441666	0.010319	8.0
80	-1.183520	441.970065	0.009257	7.5
81	-1.179941	440.511415	0.012187	8.9
82	-1.033090	439.065533	0.008525	8.2
83	-0.696764	437.632238	0.009643	8.6
84	-0.820863	436.211351	0.008256	10.0
85	-1.040180	434.802701	0.007796	12.6
86	-0.251624	433.406117	0.003588	13.2
87	-1.176778	432.021430	0.013547	10.9
88	-0.934380	430.648479	0.008973	12.1
89	-0.815984	429.287101	0.007615	14.4
90	-0.915447	427.937140	0.009112	8.7
91	-0.530622	426.598440	0.010483	10.0
92	-1.009914	425.270849	0.007935	11.0
93	-0.290742	423.954220	0.002748	9.6
94	-1.049333	422.648404	0.008876	9.1
95	-0.260423	421.353259	0.005544	11.1
96	-0.604097	420.068643	0.008227	9.6
97	-0.181309	418.794419	0.002793	8.4
98	-1.200371	417.530451	0.009855	9.2
99	-0.840264	416.276604	0.009621	8.3
100	-0.703180	415.032748	0.007136	8.2
101	-1.352257	413.798754	0.015119	8.1
102	-0.816899	412.574495	0.006016	8.4
103	-0.967449	411.359849	0.009161	7.3
104	-1.208762	410.154691	0.010194	7.9
105	-0.560003	408.958904	0.007402	7.7
106	-0.534299	407.772368	0.006461	9.4
107	-0.712592	406.594968	0.007526	11.2
108	-0.330999	405.426590	0.005015	9.0
109	-0.961539	404.267122	0.007555	7.6
110	-1.275457	403.116456	0.011172	8.5
111	-1.167128	401.974481	0.007482	7.6
112	-0.669099	400.841093	0.005087	10.0
113	-1.294591	399.716187	0.008951	12.2
114	-1.287116	398.599660	0.008707	8.5
115	-1.163799	397.491411	0.010580	9.9
116	-0.678498	396.391342	0.007977	14.8
117	-0.668082	395.299353	0.008056	12.6
118	-1.210141	394.215350	0.011200	12.0
119	-1.159865	393.139238	0.008022	12.3
120	-1.248150	392.070924	0.018678	12.1
121	-1.281056	391.010316	0.010072	11.6
122	-0.247531	389.957325	0.002718	13.2
123	-1.156277	388.911862	0.013958	14.7
124	-0.660212	387.873839	0.007213	16.5
125	-0.577349	386.843173	0.005815	13.5
126	-0.952689	385.819777	0.009127	8.5
127	-1.301183	384.803569	0.007296	7.6
128	-1.021913	383.794468	0.008867	8.4
129	-1.032399	382.792393	0.008955	8.3
130	-0.501643	381.797264	0.008212	10.1
131	-1.232857	380.809005	0.009303	8.2
132	-1.196577	379.827537	0.007547	8.9
133	-0.398630	378.852786	0.003924	7.5
134	-1.116961	377.884678	0.010214	8.2
135	-0.744044	376.923138	0.008102	9.2
136	-1.134402	375.968095	0.008668	13.8
137	-0.706341	375.019479	0.007407	14.1
138	-1.170180	374.077218	0.009388	13.6
139	-1.079588	373.141244	0.012051	10.3
140	-0.762324	372.211489	0.006304	8.3
141	-0.959772	371.287887	0.008980	10.9
142	-1.127842	370.370370	0.011981	8.2
143	-1.040174	369.458876	0.006051	8.3
144	-1.003588	368.553338	0.012307	12.5
145	-1.198706	367.653696	0.011992	10.0
146	-1.099098	366.759885	0.006177	8.6
147	-0.780100	365.871846	0.005057	7.2
148	-0.873999	364.989518	0.008392	8.3
149	-0.615122	364.112841	0.006437	8.2
150	-0.981867	363.241757	0.006080	7.7
151	-0.611249	362.376208	0.006195	7.3
152	-1.020909	361.516137	0.007860	8.1
153	-0.655109	360.661488	0.009317	7.9
154	-0.365898	359.812206	0.008246	7.7
155	-0.773729	358.968236	0.008370	12.3
156	-1.369560	358.129524	0.011624	8.8
157	-1.249722	357.296018	0.008191	8.2
158	-0.414801	356.467665	0.004863	8.1
159	-0.577196	355.644414	0.007963	8.2
160	-1.039393	354.826213	0.006690	7.8
161	-0.734019	354.013012	0.010766	12.0
162	-0.040942	353.204763	0.001101	8.2
163	-0.112671	352.401415	0.002576	7.7
164	-0.661549	351.602922	0.004458	11.3
165	-1.236328	350.809235	0.007522	7.7
166	-0.445003	350.020308	0.007041	8.2
167	-1.309181	349.236095	0.011125	9.2
168	-1.064839	348.456550	0.008352	9.6
169	-0.557290	347.681627	0.005388	8.3
170	-0.961421	346.911283	0.006703	7.9
171	-0.903266	346.145474	0.008983	8.1
172	-0.923013	345.384157	0.008305	7.6
173	-0.743563	344.627288	0.004776	8.9
174	-1.256223	343.874826	0.010173	10.1
175	-1.192461	343.126729	0.008142	9.1
176	-0.944891	342.382957	0.009969	8.7
177	-0.851956	341.643469	0.005991	8.0
178	-0.776295	340.908224	0.004784	7.0
179	-0.600373	340.177184	0.009702	8.2
180	-1.284965	339.450309	0.010459	8.3
181	-0.812986	338.727561	0.007970	8.1
182	-1.174998	338.008902	0.014517	7.4
183	-0.906818	337.294295	0.007512	10.5
184	-0.975060	336.583703	0.009479	9.0
185	-0.650073	335.877089	0.007733	8.4
186	-0.538030	335.174416	0.006681	8.3
187	-1.319094	334.475651	0.009933	7.6
188	-1.086159	333.780756	0.008988	10.9
189	-0.392127	333.089698	0.005615	7.9
190	-0.024320	332.402443	0.001697	8.0
191	-0.610467	331.718955	0.007197	8.2
192	-0.825881	331.039203	0.009337	8.2
193	-0.420178	330.363153	0.005766	7.5
194	-0.993475	329.690771	0.005918	13.9
195	-0.975804	329.022027	0.008089	12.6
196	-1.185608	328.356888	0.006796	13.8
197	-0.833297	327.695322	0.005501	10.4
198	-1.016869	327.037299	0.006539	9.9
199	-0.085005	326.382787	0.000714	9.7
200	-0.826096	325.731758	0.007881	8.9
201	-0.010518	325.084179	0.001366	11.0
202	-0.887300	324.440023	0.006957	9.9
203	-1.226052	323.799258	0.007596	12.1
204	-0.407343	323.161858	0.005342	8.1
205	-0.067746	322.527792	0.002777	8.7
206	-0.866316	321.897034	0.007435	11.0
207	-1.187746	321.269554	0.008238	8.2
208	-1.316548	320.645325	0.008220	8.8
209	-1.140426	320.024320	0.009694	8.8
210	-0.315515	319.406512	0.004076	8.7
211	-0.785903	318.791875	0.007971	8.6
212	-1.181996	318.180381	0.007754	7.8
213	-0.602245	317.572005	0.007639	8.4
214	-1.194937	316.966721	0.009078	8.0
215	-0.295578	316.364504	0.002584	9.0
216	-0.545681	315.765329	0.002362	8.6
217	-0.420304	315.169170	0.002885	9.0
218	-1.196883	314.576003	0.009500	8.2
219	-1.276837	313.985804	0.009227	8.1
220	-1.310152	313.398548	0.014029	9.6
221	-0.311751	312.814213	0.003933	9.6
222	-1.270478	312.232773	0.008913	8.8
223	-0.330849	311.654207	0.003587	8.2
224	-1.124216	311.078491	0.006807	7.6
225	-0.128830	310.505602	0.001044	7.2
226	-0.577462	309.935518	0.004260	8.6
227	-0.893549	309.368217	0.010416	8.5
228	-0.963725	308.803676	0.007532	8.1
229	-0.654571	308.241874	0.005618	9.7
230	-0.727387	307.682789	0.008048	8.7
231	-0.728865	307.126400	0.011406	9.2
232	-0.822297	306.572687	0.008099	9.0
233	-1.068133	306.021627	0.009567	9.6
234	-1.321377	305.473201	0.010985	7.7
235	-0.995699	304.927388	0.009412	8.6
236	-0.625809	304.384168	0.007551	8.4
237	-0.517449	303.843521	0.004126	7.5
238	-1.056359	303.305427	0.007490	8.9
239	-1.239302	302.769867	0.010314	10.0
240	-0.862726	302.236821	0.007239	8.7
241	-0.824243	301.706270	0.012299	10.2
242	-1.339444	301.178196	0.018352	9.4
243	-0.570807	300.652580	0.003666	8.6
244	-1.248419	300.129402	0.007651	9.0
245	-1.284975	299.608645	0.009642	8.8
246	-0.205616	299.090291	0.002069	7.4
247	-1.078199	298.574321	0.004763	8.1
248	-1.203035	298.060718	0.017559	8.5
249	-0.532991	297.549465	0.006507	8.4
250	-0.832208	297.040543	0.009305	8.5
251	-0.677837	296.533936	0.005162	9.0
252	-0.065049	296.029626	0.000752	12.5
253	-1.347765	295.527597	0.012817	12.6
254	-0.949867	295.027832	0.008511	15.4
255	-0.435379	294.530315	0.004749	9.3
256	-1.173437	294.035028	0.005888	11.1
257	-1.299475	293.541956	0.017546	8.0
258	-1.032924	293.051083	0.009476	8.1
259	-0.495112	292.562393	0.004664	8.5
260	-0.615986	292.075870	0.006454	8.8
261	-1.259734	291.591498	0.009168	9.9
262	-1.029543	291.109263	0.007679	8.9
263	-1.153000	290.629149	0.015541	8.2
264	-1.090497	290.151140	0.013661	8.3
265	-0.710154	289.675222	0.008629	8.1
266	-1.045776	289.201380	0.006643	7.7
267	-0.042905	288.729600	0.000502	8.1
268	-0.651703	288.259866	0.004965	8.2
269	-1.352874	287.792165	0.009804	8.3
270	-0.961374	287.326481	0.005267	7.5
271	-0.451271	286.862802	0.006088	9.1
272	-1.139426	286.401113	0.009230	7.2
273	-1.257487	285.941400	0.006243	8.5
274	-0.906185	285.483649	0.004399	7.5
275	-0.802279	285.027847	0.006184	8.9
276	-0.851547	284.573981	0.008566	7.9
277	-0.881494	284.122037	0.004454	8.5
278	-1.246798	283.672002	0.009158	8.0
279	-1.002294	283.223863	0.008038	7.8
280	-1.317533	282.777607	0.007849	9.2
281	-0.280213	282.333221	0.002696	8.4
282	-1.161749	281.890692	0.009482	8.2
283	-0.744852	281.450008	0.006748	8.2
284	-0.907191	281.011157	0.009130	8.4
285	-1.225755	280.574125	0.008503	8.8
286	-1.298372	280.138901	0.008578	7.6
287	-1.297083	279.705473	0.010823	8.2
288	-0.941720	279.273829	0.008985	7.8
289	-0.387217	278.843956	0.003674	8.0
290	-0.818005	278.415844	0.006500	7.9
291	-1.075786	277.989479	0.008510	8.1
292	-0.578146	277.564851	0.006001	8.5
293	-0.351757	277.141949	0.003571	7.6
294	-1.025887	276.720761	0.008643	8.1
295	-0.434325	276.301275	0.004192	8.4
296	-1.285216	275.883480	0.008010	8.7
297	-1.132503	275.467366	0.005404	7.7
298	-0.543421	275.052922	0.002615	8.6
299	-0.627120	274.640136	0.008157	8.4
300	-1.124471	274.228998	0.006956	8.5
301	-0.817522	273.819497	0.010218	7.4
302	-0.170975	273.411623	0.002947	7.3
303	-1.231142	273.005365	0.007426	8.0
304	-0.088720	272.600712	0.002628	8.4
305	-1.025323	272.197655	0.006489	7.5
306	-0.638741	271.796184	0.008140	9.6
307	-0.276677	271.396287	0.002795	8.2
308	-0.197344	270.997956	0.001971	8.9
309	-0.701717	270.601180	0.007259	8.1
310	-0.993501	270.205949	0.009475	8.3
311	-0.590794	269.812254	0.007581	7.8
312	-0.842066	269.420085	0.008756	8.3
313	-1.153204	269.029432	0.005702	12.2
314	-0.448906	268.640287	0.005142	12.1
315	-0.869047	268.252638	0.005009	14.1
316	-0.664338	267.866478	0.006543	12.6
