1:ItNr	1a:SrchDirNr	1b:LineItNr	2:Metric	3:StepLength	4a:||Gradient||	4b:||SearchDir||	4c:DirGradient	5:Phase	6a:Wolfe1	6b:Wolfe2	7:LinSrchStopCondition	Time[ms]
0	0	2	-0.647776	21.000000	0.001535	1.000000	-0.000921	Main	true	true	WolfeSatisfied	965.4
1	1	0	-0.650400	1.000000	0.001518	34.156347	0.009420	Main	true	true	WolfeSatisfied	289.4
2	2	0	-0.669063	1.000000	0.001208	17.363555	-0.009016	Main	true	true	WolfeSatisfied	347.2
3	3	0	-0.671713	1.000000	0.001299	15.533526	-0.005346	Main	true	true	WolfeSatisfied	296.8
4	4	0	-0.690617	1.000000	0.001383	19.637827	-0.006911	Main	true	true	WolfeSatisfied	322.5
5	5	0	-0.682405	1.000000	0.001258	22.339561	-0.005188	Main	true	true	WolfeSatisfied	404.9
6	6	0	-0.704957	1.000000	0.001424	13.957317	-0.004124	Main	true	true	WolfeSatisfied	340.7
7	7	0	-0.687083	1.000000	0.001249	19.969097	-0.006088	Main	true	true	WolfeSatisfied	317.4
8	8	0	-0.703057	1.000000	0.001389	28.535077	-0.004921	Main	true	true	WolfeSatisfied	408.2
9	9	0	-0.706687	1.000000	0.001316	18.733177	0.000388	Main	true	true	WolfeSatisfied	389.3
10	10	0	-0.713762	1.000000	0.001144	16.178803	-0.005547	Main	true	true	WolfeSatisfied	353.7
11	11	0	-0.719915	1.000000	0.001200	21.222800	-0.005165	Main	true	true	WolfeSatisfied	334.8
12	12	0	-0.727231	1.000000	0.001141	14.411867	-0.005579	Main	true	true	WolfeSatisfied	358.2
13	13	0	-0.726443	1.000000	0.001220	11.679169	-0.005339	Main	true	true	WolfeSatisfied	348.7
14	14	0	-0.726800	1.000000	0.001204	12.200791	-0.005327	Main	true	true	WolfeSatisfied	357.1
15	15	0	-0.732674	1.000000	0.001298	15.881232	-0.004518	Main	true	true	WolfeSatisfied	414.8
16	16	0	-0.728244	1.000000	0.001244	15.762389	-0.005096	Main	true	true	WolfeSatisfied	339.2
17	17	0	-0.734548	1.000000	0.001197	12.227102	-0.002513	Main	true	true	WolfeSatisfied	319.0
18	18	0	-0.736538	1.000000	0.001242	24.739620	-0.004096	Main	true	true	WolfeSatisfied	300.5
19	19	0	-0.734169	1.000000	0.001272	17.772467	-0.001788	Main	true	true	WolfeSatisfied	320.3
20	20	0	-0.744242	1.000000	0.001326	14.260696	-0.004112	Main	true	true	WolfeSatisfied	372.3
21	21	0	-0.736860	1.000000	0.001237	14.882249	-0.006194	Main	true	true	WolfeSatisfied	275.3
22	22	0	-0.735784	1.000000	0.001176	23.797291	-0.002306	Main	true	true	WolfeSatisfied	315.4
23	23	0	-0.745180	1.000000	0.001052	11.704012	-0.004031	Main	true	true	WolfeSatisfied	363.0
24	24	0	-0.749188	1.000000	0.001175	20.443292	-0.004058	Main	true	true	WolfeSatisfied	338.1
25	25	0	-0.747856	1.000000	0.001130	16.799153	-0.002674	Main	true	true	WolfeSatisfied	307.6
26	26	0	-0.748375	1.000000	0.001005	12.768726	-0.003278	Main	true	true	WolfeSatisfied	287.9
27	27	0	-0.753865	1.000000	0.001035	17.334916	-0.003938	Main	true	true	WolfeSatisfied	281.1
28	28	0	-0.751262	1.000000	0.001088	11.112062	-0.003338	Main	true	true	WolfeSatisfied	289.1
29	29	0	-0.756655	1.000000	0.001166	17.738719	-0.002951	Main	true	true	WolfeSatisfied	284.6
30	30	0	-0.751714	1.000000	0.001134	10.101048	-0.003095	Main	true	true	WolfeSatisfied	299.4
31	31	0	-0.744890	1.000000	0.001098	12.145210	-0.001816	Main	true	true	WolfeSatisfied	280.4
32	32	0	-0.747322	1.000000	0.001147	14.604380	-0.000765	Main	true	true	WolfeSatisfied	295.1
33	33	0	-0.745019	1.000000	0.001120	10.556984	-0.004068	Main	true	true	WolfeSatisfied	311.0
34	34	0	-0.758850	1.000000	0.001159	12.076169	-0.003631	Main	true	true	WolfeSatisfied	289.5
35	35	0	-0.748984	1.000000	0.001051	8.911321	-0.003534	Main	true	true	WolfeSatisfied	300.2
36	36	0	-0.757791	1.000000	0.001154	13.429257	-0.002889	Main	true	true	WolfeSatisfied	284.5
37	37	0	-0.752656	1.000000	0.001165	14.096922	-0.002355	Main	true	true	WolfeSatisfied	282.4
38	38	0	-0.757725	1.000000	0.001137	10.134395	-0.003873	Main	true	true	WolfeSatisfied	282.1
39	39	0	-0.760159	1.000000	0.001052	8.367273	-0.003956	Main	true	true	WolfeSatisfied	367.6
40	40	0	-0.772230	1.000000	0.001075	10.882777	-0.002273	Main	true	true	WolfeSatisfied	337.4
41	41	0	-0.768629	1.000000	0.001207	13.918816	-0.001485	Main	true	true	WolfeSatisfied	289.3
42	42	0	-0.766439	1.000000	0.001132	14.717014	-0.001749	Main	true	true	WolfeSatisfied	288.6
43	43	0	-0.765592	1.000000	0.001101	12.528965	-0.003240	Main	true	true	WolfeSatisfied	284.2
44	44	0	-0.763096	1.000000	0.001132	8.573268	-0.003923	Main	true	true	WolfeSatisfied	323.2
45	45	0	-0.760714	1.000000	0.001266	8.058275	-0.004726	Main	true	true	WolfeSatisfied	306.8
46	46	0	-0.773461	1.000000	0.001046	11.780994	-0.002953	Main	true	true	WolfeSatisfied	297.3
47	47	0	-0.771669	1.000000	0.001230	8.509450	-0.003465	Main	true	true	WolfeSatisfied	291.7
48	48	0	-0.765614	1.000000	0.001128	13.079324	0.001521	Main	true	true	WolfeSatisfied	289.4
49	49	0	-0.765120	1.000000	0.001149	11.460685	-0.004024	Main	true	true	WolfeSatisfied	293.5
50	50	0	-0.764509	1.000000	0.001085	14.688422	-0.004003	Main	true	true	WolfeSatisfied	288.3
51	51	0	-0.764964	1.000000	0.001109	10.403321	-0.003228	Main	true	true	WolfeSatisfied	338.8
52	52	0	-0.762650	1.000000	0.001102	11.353373	-0.003651	Main	true	true	WolfeSatisfied	284.8
53	53	0	-0.761533	1.000000	0.001201	10.397471	-0.003613	Main	true	true	WolfeSatisfied	279.4
54	54	0	-0.774242	1.000000	0.001212	20.467793	-0.001241	Main	true	true	WolfeSatisfied	280.8
55	55	0	-0.767052	1.000000	0.001211	9.819890	-0.003951	Main	true	true	WolfeSatisfied	289.7
56	56	0	-0.762638	1.000000	0.001100	7.065375	-0.003376	Main	true	true	WolfeSatisfied	285.3
57	57	0	-0.763277	1.000000	0.001123	6.999967	-0.004311	Main	true	true	WolfeSatisfied	281.9
58	58	0	-0.769734	1.000000	0.001154	9.236611	-0.003277	Main	true	true	WolfeSatisfied	281.4
59	59	0	-0.773641	1.000000	0.001209	10.342203	-0.001224	Main	true	true	WolfeSatisfied	301.8
60	60	0	-0.776429	1.000000	0.001192	11.852671	0.001373	Main	true	true	WolfeSatisfied	288.0
61	61	0	-0.756618	1.000000	0.001170	9.286109	-0.004186	Main	true	true	WolfeSatisfied	365.8
62	62	0	-0.779527	1.000000	0.001231	8.747517	-0.002449	Main	true	true	WolfeSatisfied	296.2
63	63	0	-0.763961	1.000000	0.001082	8.273726	-0.002133	Main	true	true	WolfeSatisfied	321.3
64	64	0	-0.775303	1.000000	0.001156	7.626101	-0.003593	Main	true	true	WolfeSatisfied	304.7
65	65	0	-0.771531	1.000000	0.001016	6.022756	-0.002626	Main	true	true	WolfeSatisfied	283.5
66	66	0	-0.778618	1.000000	0.001115	7.429108	-0.003660	Main	true	true	WolfeSatisfied	294.4
67	67	0	-0.772422	1.000000	0.001091	9.953852	-0.003334	Main	true	true	WolfeSatisfied	287.9
68	68	0	-0.780379	1.000000	0.001056	6.852210	-0.003038	Main	true	true	WolfeSatisfied	293.8
69	69	0	-0.768374	1.000000	0.001098	9.199518	-0.002928	Main	true	true	WolfeSatisfied	283.8
70	70	0	-0.778112	1.000000	0.001111	14.953226	-0.003367	Main	true	true	WolfeSatisfied	292.9
71	71	0	-0.776621	1.000000	0.001160	7.885377	-0.003494	Main	true	true	WolfeSatisfied	284.8
72	72	0	-0.773820	1.000000	0.001157	7.624245	-0.003852	Main	true	true	WolfeSatisfied	276.8
73	73	0	-0.779458	1.000000	0.001064	10.006158	-0.002674	Main	true	true	WolfeSatisfied	281.8
74	74	0	-0.777586	1.000000	0.001132	7.781026	-0.003405	Main	true	true	WolfeSatisfied	296.7
