1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.438949	2.000000	0.883732	237.5
1	-0.449105	1.000000	0.885689	140.4
2	-0.452099	0.500000	0.924591	141.2
3	-0.454867	0.250000	0.906226	145.7
4	-0.457729	0.250000	0.903936	144.4
5	-0.460311	0.250000	0.833063	146.9
6	-0.464384	0.250000	0.788633	141.3
7	-0.465700	0.250000	0.814835	141.1
8	-0.467812	0.250000	0.850940	140.4
9	-0.470404	0.250000	0.944961	142.7
10	-0.472368	0.125000	0.929241	147.7
11	-0.473472	0.125000	0.909727	143.0
12	-0.474763	0.125000	0.903490	143.5
13	-0.476579	0.125000	0.928281	148.1
14	-0.478742	0.125000	0.914039	153.1
15	-0.479756	0.062500	0.822421	143.5
16	-0.480405	0.062500	0.806180	143.4
