1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.522361	0.000000	6.375486	0.025287	993.6
1	-0.565669	0.000000	6.375486	0.024720	4.8
2	-0.574972	0.999824	6.085740	0.021731	3.8
3	-0.579293	1.999824	5.821140	0.023717	4.4
4	-0.575369	1.091215	6.060563	0.022777	4.9
5	-0.567417	0.371568	6.264641	0.032085	4.3
6	-0.579558	1.371568	5.984614	0.021838	4.5
7	-0.578565	0.482237	6.232368	0.034189	5.3
8	-0.583408	1.482237	5.955155	0.024327	4.8
9	-0.573260	0.573628	6.205966	0.028451	4.9
10	-0.530156	0.000000	6.375486	0.019168	3.9
11	-0.583435	0.000000	6.375486	0.025899	5.0
12	-0.546240	0.963775	6.095728	0.017244	4.0
13	-0.559282	1.963775	5.830279	0.015467	3.9
14	-0.552119	2.940678	5.592373	0.020781	5.2
15	-0.569927	2.056741	5.806771	0.024084	4.1
16	-0.541413	1.148152	6.044983	0.012848	6.8
17	-0.590423	2.148152	5.783840	0.012814	5.3
18	-0.540540	3.120855	5.550599	0.012846	4.0
19	-0.538570	3.939103	5.368485	0.017588	5.2
20	-0.512375	3.482439	5.468622	0.023627	5.7
21	-0.586154	2.584973	5.676716	0.026067	3.8
22	-0.567729	3.584973	5.445814	0.027162	4.8
23	-0.553455	2.676374	5.654802	0.027447	5.9
24	-0.542588	3.673616	5.426250	0.019212	4.8
25	-0.551376	2.765019	5.633709	0.021800	4.5
26	-0.520911	3.765019	5.406222	0.020418	4.2
27	-0.547496	2.856514	5.612103	0.020917	4.7
28	-0.574583	1.947906	5.834310	0.026621	4.1
29	-0.563342	2.947906	5.590685	0.017211	4.2
30	-0.536263	2.039298	5.811167	0.018996	4.2
31	-0.574387	1.130738	6.049740	0.024345	3.9
32	-0.536460	2.130731	5.788196	0.030569	6.9
33	-0.574767	3.130723	5.548330	0.021393	4.6
34	-0.533424	4.130723	5.327551	0.014076	3.6
35	-0.581244	3.482259	5.468662	0.013453	4.1
36	-0.602507	4.482245	5.254058	0.018881	4.1
37	-0.552362	3.621568	5.437721	0.019665	4.1
38	-0.542431	2.712994	5.646069	0.027532	3.8
39	-0.568683	1.815388	5.868198	0.021375	3.9
40	-0.566917	0.906779	6.111588	0.018075	3.6
41	-0.561326	1.680669	5.903054	0.017920	5.6
42	-0.601008	1.976870	5.826956	0.016636	3.9
43	-0.562766	2.371715	5.728514	0.017794	4.1
44	-0.558794	3.371706	5.493469	0.023017	4.1
45	-0.551994	2.463185	5.706182	0.022345	4.0
46	-0.551216	1.557817	5.935202	0.017255	3.8
47	-0.556870	2.556429	5.683595	0.022459	3.9
48	-0.567761	2.163439	5.780023	0.023289	4.0
49	-0.572465	1.254850	6.016001	0.019189	3.6
50	-0.556611	2.252856	5.757796	0.021878	5.4
51	-0.607133	3.232380	5.525054	0.025950	3.8
52	-0.591056	2.323771	5.740290	0.022183	3.8
53	-0.580187	1.415162	5.972975	0.022213	3.7
54	-0.587485	0.506553	6.225321	0.018168	3.8
55	-0.533392	0.781805	6.146653	0.021846	3.6
56	-0.551656	1.781686	5.876879	0.024511	4.2
57	-0.560477	2.781686	5.629761	0.033229	3.6
58	-0.570918	1.873077	5.853397	0.016691	3.8
59	-0.547496	2.873077	5.608209	0.015412	4.8
60	-0.539065	1.971865	5.828225	0.016215	5.5
61	-0.556214	2.875799	5.607570	0.019872	3.8
62	-0.551869	1.992581	5.822974	0.021926	3.8
63	-0.565831	1.083975	6.062550	0.024959	4.1
64	-0.546641	2.083975	5.799920	0.014073	3.6
65	-0.557598	2.875461	5.607649	0.013053	3.8
66	-0.557725	1.967402	5.829358	0.014560	3.9
67	-0.540691	1.065272	6.067689	0.013264	4.0
68	-0.600292	0.712614	6.166241	0.028397	3.7
69	-0.573806	1.712608	5.894752	0.017315	6.2
70	-0.552628	2.712605	5.646162	0.024482	3.9
71	-0.548417	3.712106	5.417798	0.011712	4.5
72	-0.547439	2.805384	5.624156	0.017582	3.7
73	-0.572838	2.680011	5.653933	0.028121	4.5
74	-0.530703	1.771402	5.879533	0.015175	4.1
75	-0.544328	2.766979	5.633244	0.023493	4.2
76	-0.598443	1.858671	5.857086	0.020431	4.0
77	-0.557583	2.858671	5.611595	0.015886	5.5
78	-0.580443	1.955959	5.832264	0.021119	5.0
79	-0.583797	1.047359	6.072619	0.021351	3.7
80	-0.565123	1.764000	5.881445	0.017100	4.8
81	-0.513368	0.855509	6.125925	0.039011	4.4
82	-0.558399	0.000000	6.375486	0.017481	4.5
83	-0.582606	1.000000	6.085691	0.027780	4.3
84	-0.575507	1.999210	5.821296	0.015450	3.7
