1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.435931	2.000000	0.765931	252.9
1	-0.444030	1.000000	0.823763	154.7
2	-0.450271	1.000000	0.779627	153.7
3	-0.455632	1.000000	0.843490	154.8
4	-0.462579	0.500000	0.930219	177.2
5	-0.465384	0.500000	0.878603	168.6
6	-0.470796	0.250000	0.832824	175.4
7	-0.471842	0.125000	0.824628	166.2
8	-0.474246	0.062500	0.845033	178.8
9	-0.474858	0.062500	0.847136	175.9
10	-0.475971	0.062500	0.864481	194.3
11	-0.477186	0.062500	0.887701	194.6
12	-0.478165	0.062500	0.904270	228.0
13	-0.479523	0.062500	0.887402	169.6
14	-0.481211	0.062500	0.873039	177.5
