1:ItNr	1a:SrchDirNr	1b:LineItNr	2:Metric	3:StepLength	4a:||Gradient||	4b:||SearchDir||	4c:DirGradient	5:Phase	6a:Wolfe1	6b:Wolfe2	7:LinSrchStopCondition	Time[ms]
0	0	2	-0.622633	42.000000	0.002896	1.000000	0.001171	Main	true	true	WolfeSatisfied	384.8
1	1	1	-0.658432	1.145496	0.002130	14.898359	0.001212	Main	true	true	WolfeSatisfied	224.5
2	2	0	-0.655919	2.000000	0.002325	11.830035	0.006785	Main	true	true	WolfeSatisfied	149.4
3	3	0	-0.680641	2.000000	0.002415	9.492318	0.008199	Main	true	true	WolfeSatisfied	149.7
4	4	0	-0.670164	2.000000	0.002617	9.983421	0.011663	Main	true	true	WolfeSatisfied	149.7
5	5	0	-0.702038	2.000000	0.002297	8.113537	0.011276	Main	true	true	WolfeSatisfied	151.9
6	6	1	-0.701956	1.092831	0.001643	8.821068	0.002042	Main	true	true	WolfeSatisfied	228.8
7	7	0	-0.705776	2.000000	0.001902	6.089293	0.003053	Main	true	true	WolfeSatisfied	150.2
8	8	0	-0.702168	2.000000	0.001605	6.544969	0.002021	Main	true	true	WolfeSatisfied	150.4
9	9	0	-0.711411	2.000000	0.001585	5.783233	0.004156	Main	true	true	WolfeSatisfied	152.4
10	10	0	-0.720477	2.000000	0.001556	10.914097	0.001368	Main	true	true	WolfeSatisfied	150.7
11	11	0	-0.726475	2.000000	0.001333	8.021729	-0.000230	Main	true	true	WolfeSatisfied	150.2
12	12	0	-0.726725	2.000000	0.001624	10.710930	0.000676	Main	true	true	WolfeSatisfied	154.6
13	13	0	-0.716580	2.000000	0.001404	11.181263	0.000313	Main	true	true	WolfeSatisfied	167.1
14	14	0	-0.750017	2.000000	0.001679	5.754405	0.003425	Main	true	true	WolfeSatisfied	272.0
15	15	0	-0.732856	2.000000	0.001437	5.798450	0.003323	Main	true	true	WolfeSatisfied	202.9
16	16	0	-0.731693	2.000000	0.001914	15.551712	0.004720	Main	true	true	WolfeSatisfied	216.7
17	17	1	-0.757730	1.119922	0.000923	17.183755	-0.001071	Main	true	true	WolfeSatisfied	243.0
