1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.539697	0.000000	6.948235	0.024443	1298.6
1	-0.550423	0.000000	6.948235	0.015985	5.6
2	-0.579782	1.000000	6.632406	0.020307	9.4
3	-0.579988	2.000000	6.344041	0.014575	7.7
4	-0.556705	2.913178	6.101779	0.023803	8.8
5	-0.564547	3.240171	6.019468	0.024832	6.4
6	-0.583134	4.225498	5.784343	0.027223	6.5
7	-0.576819	3.334131	5.996225	0.017151	6.9
8	-0.558309	4.334123	5.759542	0.023288	7.6
9	-0.572048	5.305931	5.546770	0.026980	6.1
10	-0.544950	4.414564	5.741312	0.029723	4.8
11	-0.592879	3.523197	5.949997	0.015634	3.9
12	-0.543603	4.523183	5.716879	0.025638	4.0
13	-0.566805	5.265718	5.555262	0.020177	4.7
14	-0.553559	4.691401	5.679446	0.013988	4.1
15	-0.551271	3.819970	5.878852	0.025163	6.0
16	-0.569192	4.815836	5.652071	0.033182	4.1
17	-0.596894	3.924907	5.854102	0.017855	5.2
18	-0.544087	3.044361	6.068489	0.018259	4.5
19	-0.555061	2.153105	6.302089	0.028526	4.2
20	-0.517392	1.457453	6.497306	0.014168	3.9
21	-0.592943	0.592496	6.757576	0.024777	4.4
22	-0.590070	1.581628	6.461577	0.022046	4.4
23	-0.545846	0.912162	6.658993	0.026528	3.9
24	-0.561817	0.020795	6.941361	0.008868	4.7
25	-0.571446	1.002618	6.631617	0.030237	3.8
26	-0.522670	1.945341	6.359153	0.022359	4.5
27	-0.551838	1.054557	6.615999	0.035158	4.3
28	-0.568627	2.054557	6.329028	0.029455	3.9
29	-0.576964	3.054556	6.065917	0.018429	4.2
30	-0.542741	4.054556	5.823809	0.016052	4.2
31	-0.586673	3.163360	6.038603	0.017855	4.4
32	-0.533148	4.157376	5.800006	0.027323	4.0
33	-0.576521	4.656056	5.687271	0.024979	7.1
34	-0.557073	5.291892	5.549731	0.024249	6.5
35	-0.584285	6.290218	5.346712	0.032438	7.1
36	-0.603800	5.398851	5.527246	0.014923	6.3
37	-0.562435	6.391280	5.326985	0.019168	8.4
38	-0.566795	5.503302	5.505462	0.027152	7.2
39	-0.584291	6.503302	5.305288	0.018146	6.9
40	-0.566247	7.490856	5.121395	0.023619	7.1
41	-0.584191	6.601050	5.286500	0.018210	6.5
42	-0.609029	5.709863	5.462886	0.031158	6.6
43	-0.575324	4.818495	5.651489	0.015992	7.6
44	-0.548924	3.927147	5.853575	0.019463	6.8
45	-0.578287	4.919121	5.629548	0.019805	7.3
46	-0.563779	5.631279	5.479006	0.017019	8.6
47	-0.555536	4.741499	5.668393	0.031329	6.9
48	-0.571286	5.710188	5.462820	0.024327	7.0
49	-0.574852	6.709367	5.265834	0.023824	8.0
50	-0.555030	7.699840	5.084103	0.022790	11.7
51	-0.593121	8.699840	4.912920	0.013777	12.9
52	-0.600198	7.810810	5.064520	0.021120	10.0
53	-0.585192	8.810688	4.894652	0.020875	16.6
54	-0.607427	7.920178	5.045368	0.021671	9.3
55	-0.545825	7.072249	5.197764	0.026081	22.5
56	-0.562068	6.389173	5.327395	0.018594	10.1
57	-0.540169	7.389172	5.139739	0.024893	10.0
58	-0.573469	8.389172	4.964854	0.036197	15.1
59	-0.569837	7.497805	5.120147	0.020427	7.5
60	-0.561021	8.497805	4.946569	0.013130	10.5
61	-0.554032	7.610664	5.099949	0.028229	16.3
62	-0.554444	7.010376	5.209246	0.024789	12.2
63	-0.590519	8.010376	5.029681	0.032060	9.0
64	-0.553167	7.119009	5.189121	0.028146	7.6
65	-0.560759	8.119009	5.010917	0.021471	7.6
66	-0.564219	7.227642	5.169151	0.017649	8.2
