1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.413552	2.000000	1.409999	1054.5
1	-0.401405	1.000000	1.572574	262.5
2	-0.411142	1.000000	1.248547	231.4
3	-0.417227	1.000000	1.184180	229.3
4	-0.418435	0.500000	1.907168	300.8
5	-0.421903	0.500000	1.072766	304.0
6	-0.420121	0.500000	1.549825	295.2
7	-0.419415	0.250000	1.049996	222.9
8	-0.420164	0.250000	1.186559	227.9
9	-0.421855	0.250000	1.529757	229.2
10	-0.422613	0.125000	1.224958	246.8
11	-0.423150	0.125000	1.482415	258.0
12	-0.423214	0.062500	1.581918	227.9
