1:ItNr	1a:SrchDirNr	1b:LineItNr	2:Metric	3:StepLength	4a:||Gradient||	4b:||SearchDir||	4c:DirGradient	5:Phase	6a:Wolfe1	6b:Wolfe2	7:LinSrchStopCondition	Time[ms]
0	0	0	-0.639458	5.000000	0.001658	1.000000	-0.000803	Main	true	true	WolfeSatisfied	1694.1
1	1	0	-0.649837	5.000000	0.001805	5.140218	-0.001073	Main	true	true	WolfeSatisfied	664.4
2	2	0	-0.648922	5.000000	0.001840	11.913284	0.001550	Main	true	true	WolfeSatisfied	658.1
3	3	1	-0.654877	1.607526	0.001823	28.741414	0.004857	Main	true	true	WolfeSatisfied	976.3
4	4	1	-0.657777	1.719078	0.001629	21.113447	0.001888	Main	true	true	WolfeSatisfied	1036.8
5	5	1	-0.652813	1.686740	0.001599	17.357695	0.000878	Main	true	true	WolfeSatisfied	981.3
6	6	1	-0.659469	1.738555	0.001552	17.638897	0.001475	Main	true	true	WolfeSatisfied	981.4
7	7	0	-0.653509	5.000000	0.001750	18.103164	0.003490	Main	true	true	WolfeSatisfied	667.6
8	8	1	-0.656440	1.590284	0.001557	40.666504	0.004397	Main	true	true	WolfeSatisfied	977.5
9	9	1	-0.656313	1.585683	0.001746	36.213276	0.004972	Main	true	true	WolfeSatisfied	991.5
10	10	1	-0.658954	1.651791	0.001595	29.826089	-0.000095	Main	true	true	WolfeSatisfied	977.0
11	11	1	-0.664441	1.663229	0.001629	25.305002	0.001498	Main	true	true	WolfeSatisfied	988.3
12	12	1	-0.661622	1.634188	0.001642	23.960344	0.001844	Main	true	true	WolfeSatisfied	1001.7
13	13	0	-0.659480	5.000000	0.001705	18.620832	0.004281	Main	true	true	WolfeSatisfied	656.7
14	14	1	-0.663071	1.465148	0.001575	53.577542	0.011227	Main	true	true	WolfeSatisfied	985.9
15	15	1	-0.665572	1.498290	0.001644	43.398552	0.007578	Main	true	true	WolfeSatisfied	997.0
16	16	1	-0.665930	1.594840	0.001561	34.413489	0.003853	Main	true	true	WolfeSatisfied	972.2
17	17	1	-0.671056	1.623637	0.001721	30.394630	0.002659	Main	true	true	WolfeSatisfied	977.1
18	18	1	-0.666508	1.658161	0.001756	25.276898	0.001078	Main	true	true	WolfeSatisfied	985.2
19	19	1	-0.673741	1.768032	0.001661	20.870022	0.001050	Main	true	true	WolfeSatisfied	976.6
20	20	1	-0.676219	1.744790	0.001725	19.477929	0.002071	Main	true	true	WolfeSatisfied	987.7
21	21	0	-0.669621	5.000000	0.001708	17.129443	0.002478	Main	true	true	WolfeSatisfied	660.8
22	22	1	-0.668774	1.467994	0.001653	55.174269	0.010930	Main	true	true	WolfeSatisfied	980.8
23	23	1	-0.674298	1.570910	0.001632	37.015150	0.004649	Main	true	true	WolfeSatisfied	976.2
24	24	1	-0.677177	1.542157	0.001511	34.898003	0.000333	Main	true	true	WolfeSatisfied	981.8
