1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.475323	2.000000	1.763126	1025.4
1	-0.454283	1.000000	1.192500	262.4
2	-0.465750	1.000000	1.747214	263.9
3	-0.474034	1.000000	0.731473	250.0
4	-0.479616	0.500000	1.406015	278.6
5	-0.480206	0.250000	1.199325	270.4
6	-0.481026	0.250000	1.022659	271.9
7	-0.481593	0.250000	1.315791	259.0
8	-0.481626	0.250000	0.979671	251.6
9	-0.482657	0.250000	1.026290	269.6
10	-0.483659	0.125000	1.097224	267.8
11	-0.484267	0.062500	1.665717	268.0
12	-0.484481	0.062500	1.249419	300.6
13	-0.484418	0.062500	1.391858	286.9
14	-0.485222	0.062500	0.874397	257.9
15	-0.485076	0.062500	1.321149	247.2
