1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.450593	2.000000	0.513195	881.2
1	-0.449444	1.000000	0.574053	209.7
2	-0.456296	1.000000	0.568712	207.9
3	-0.457583	0.500000	0.533875	205.8
4	-0.459733	0.500000	0.641701	202.5
5	-0.461524	0.250000	0.607039	206.5
6	-0.462517	0.250000	0.553798	314.3
7	-0.464268	0.125000	0.488648	236.8
8	-0.464717	0.125000	0.503955	222.2
9	-0.465560	0.062500	0.494509	203.6
10	-0.466081	0.062500	0.499675	207.9
11	-0.466446	0.062500	0.502691	201.9
12	-0.466974	0.062500	0.487654	207.4
13	-0.467641	0.062500	0.481522	204.9
14	-0.468237	0.062500	0.480599	207.4
15	-0.469009	0.062500	0.479874	206.3
16	-0.469557	0.062500	0.464558	207.7
