1:ItNr	1a:SrchDirNr	1b:LineItNr	2:Metric	3:StepLength	4a:||Gradient||	4b:||SearchDir||	4c:DirGradient	5:Phase	6a:Wolfe1	6b:Wolfe2	7:LinSrchStopCondition	Time[ms]
0	0	2	-0.691107	42.000000	0.003081	1.000000	0.000675	Main	true	true	WolfeSatisfied	470.7
1	1	0	-0.725529	2.000000	0.002842	15.872964	0.016105	Main	true	true	WolfeSatisfied	189.5
2	2	0	-0.726771	2.000000	0.002770	16.069436	0.019018	Main	true	true	WolfeSatisfied	281.7
3	3	1	-0.762150	1.073786	0.002112	17.751023	-0.005247	Main	true	true	WolfeSatisfied	394.7
4	4	1	-0.767761	0.791419	0.002069	16.545133	-0.001059	Main	true	true	WolfeSatisfied	384.8
5	5	1	-0.786195	1.092719	0.001839	14.797022	-0.000364	Main	true	true	WolfeSatisfied	327.9
6	6	0	-0.779409	2.000000	0.002554	11.337761	0.011285	Main	true	true	WolfeSatisfied	194.7
7	7	0	-0.793825	2.000000	0.002540	11.788625	0.009460	Main	true	true	WolfeSatisfied	189.2
8	8	0	-0.791067	2.000000	0.002976	12.925594	0.017226	Main	true	true	WolfeSatisfied	205.3
9	9	1	-0.811057	1.106304	0.001796	10.999590	-0.004425	Main	true	true	WolfeSatisfied	276.8
10	10	0	-0.801404	2.000000	0.002516	11.989730	0.011384	Main	true	true	WolfeSatisfied	188.8
11	11	1	-0.822964	1.157830	0.001354	12.740111	0.000126	Main	true	true	WolfeSatisfied	275.7
12	12	0	-0.819610	2.000000	0.002083	10.078241	0.005180	Main	true	true	WolfeSatisfied	229.8
13	13	0	-0.806375	2.000000	0.001561	6.088379	0.001435	Main	true	true	WolfeSatisfied	179.8
14	14	0	-0.830230	2.000000	0.002198	10.504467	0.003657	Main	true	true	WolfeSatisfied	194.6
15	15	0	-0.824286	2.000000	0.002102	7.108435	0.008842	Main	true	true	WolfeSatisfied	183.8
16	16	0	-0.819899	2.000000	0.002630	19.958364	0.014917	Main	true	true	WolfeSatisfied	205.0
17	17	1	-0.851461	1.123296	0.001298	12.055027	0.001094	Main	true	true	WolfeSatisfied	279.7
