1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.377323	627.201626	0.024991	459.9
1	-0.298997	623.504937	0.007387	7.4
2	-0.954476	619.865785	0.012611	8.3
3	-0.600179	616.282728	0.009269	7.4
4	-0.463478	612.754375	0.002571	7.9
5	-1.364017	609.279381	0.025103	7.5
6	-0.904128	605.856447	0.020330	8.4
7	-1.272543	602.484317	0.036306	7.3
8	-1.312847	599.161779	0.015402	7.9
9	-0.001595	595.887656	0.000031	7.4
10	-0.734254	592.660813	0.017380	8.0
11	-1.451730	589.480151	0.021896	7.5
12	-0.812641	586.344606	0.023396	8.5
13	-0.620806	583.253145	0.012358	7.6
14	-1.227328	580.204771	0.030319	8.3
15	-0.551383	577.198517	0.003695	8.2
16	-0.361264	574.233444	0.012053	7.9
17	-1.013352	571.308645	0.016606	9.8
18	-0.563731	568.423237	0.006727	9.1
19	-1.345012	565.576365	0.018487	8.5
20	-0.718542	562.767201	0.014311	10.2
21	-1.340676	559.994938	0.018150	8.3
22	-0.554237	557.258797	0.013275	7.3
23	-0.864999	554.558018	0.024170	8.5
24	-1.342541	551.891865	0.024922	8.1
25	-0.582687	549.259621	0.006300	8.0
26	-0.633473	546.660592	0.015897	8.2
27	-1.110678	544.094102	0.027519	7.9
28	-1.141180	541.559494	0.005332	7.6
29	-0.704978	539.056129	0.005913	7.9
30	-1.118170	536.583387	0.015155	7.5
31	-0.694529	534.140663	0.012131	8.5
32	-1.471733	531.727370	0.012316	7.5
33	-1.583815	529.342935	0.020418	9.0
34	-0.686656	526.986802	0.015685	7.3
35	-1.453647	524.658430	0.015548	8.0
36	-0.785696	522.357290	0.010775	8.5
37	-0.869476	520.082868	0.011810	8.1
38	-1.377459	517.834665	0.030685	7.4
39	-0.362916	515.612193	0.007759	8.8
40	-1.415584	513.414976	0.023277	7.3
41	-0.675849	511.242551	0.012363	7.6
42	-1.497598	509.094468	0.024891	7.7
43	-1.351046	506.970285	0.014418	7.5
44	-0.927349	504.869574	0.006273	7.6
45	-1.335516	502.791916	0.024406	8.6
46	-1.039471	500.736903	0.020509	8.5
47	-1.524185	498.704137	0.024864	9.2
48	-0.696340	496.693228	0.005657	8.4
49	-1.055683	494.703798	0.018246	8.7
50	-1.443089	492.735476	0.021727	8.9
51	-1.020674	490.787900	0.023790	8.1
52	-1.490260	488.860718	0.018310	7.8
53	-1.539268	486.953585	0.012509	7.4
54	-1.466427	485.066164	0.020200	7.8
55	-0.675371	483.198126	0.014048	7.6
56	-1.413410	481.349149	0.030366	8.2
57	-0.835863	479.518920	0.016738	7.4
58	-1.258322	477.707132	0.011804	7.6
59	-1.304254	475.913485	0.031427	7.7
60	-0.556987	474.137684	0.007369	6.7
61	-1.570277	472.379445	0.024400	7.9
62	-0.766705	470.638485	0.005296	7.3
