1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.646811	0.000000	18.314884	0.013956	1040.8
1	-0.608848	0.000000	18.314884	0.013267	3.8
2	-0.638853	0.000000	18.314884	0.019679	4.2
3	-0.659204	0.000000	18.314884	0.012880	3.7
4	-0.655611	0.000000	18.314884	0.010248	4.2
5	-0.645089	0.000000	18.314884	0.012293	3.9
6	-0.622761	0.998700	17.483422	0.012741	4.0
7	-0.653397	0.549079	17.848214	0.012271	3.7
8	-0.642333	1.331580	17.222810	0.011629	3.6
9	-0.640935	1.180422	17.340182	0.011965	3.8
10	-0.624528	0.730805	17.698955	0.008732	3.9
11	-0.670499	0.386900	17.983558	0.016148	3.7
12	-0.682742	0.182419	18.157159	0.011862	4.1
13	-0.662003	1.182415	17.338624	0.020172	3.8
14	-0.659741	0.732794	17.697336	0.012574	4.0
15	-0.632671	1.732794	16.918842	0.015787	4.0
16	-0.655586	2.732790	16.205956	0.016284	3.8
17	-0.630136	3.732790	15.550714	0.014640	3.8
18	-0.659073	3.287806	15.835624	0.012614	4.1
19	-0.620253	2.838372	16.134179	0.014317	3.7
20	-0.682642	3.837325	15.485265	0.013090	3.9
21	-0.607752	4.837321	14.885930	0.011063	3.8
22	-0.632203	5.837286	14.331276	0.009476	5.1
23	-0.645576	6.082989	14.201260	0.022158	5.1
24	-0.623705	7.082917	13.695606	0.010859	4.2
25	-0.659654	8.082872	13.224710	0.013114	4.5
26	-0.655350	8.802979	12.905172	0.012036	4.0
27	-0.635357	9.802979	12.486213	0.014594	4.4
28	-0.655070	9.366437	12.665712	0.012943	3.9
29	-0.616856	8.921594	12.854013	0.014542	4.1
30	-0.622737	9.921583	12.438320	0.016527	3.8
31	-0.610071	9.524278	12.600218	0.010706	3.9
32	-0.634057	9.106921	12.774888	0.010898	4.3
33	-0.654252	10.106921	12.364212	0.010539	4.2
34	-0.631304	9.664622	12.542550	0.011658	4.4
35	-0.647388	10.664584	12.146458	0.010034	4.4
36	-0.638491	11.664584	11.774604	0.007825	5.3
