1:ItNr	1a:SrchDirNr	1b:LineItNr	2:Metric	3:StepLength	4a:||Gradient||	4b:||SearchDir||	4c:DirGradient	5:Phase	6a:Wolfe1	6b:Wolfe2	7:LinSrchStopCondition	Time[ms]
0	0	2	-0.687685	21.000000	0.001591	1.000000	-0.001041	Main	true	true	WolfeSatisfied	1057.7
1	1	0	-0.690819	1.000000	0.001863	40.117768	0.028911	Main	true	true	WolfeSatisfied	334.2
2	2	0	-0.724062	1.000000	0.001255	20.647030	-0.001553	Main	true	true	WolfeSatisfied	390.5
3	3	0	-0.716040	1.000000	0.001137	13.194114	-0.009507	Main	true	true	WolfeSatisfied	260.2
4	4	0	-0.741683	1.000000	0.001276	22.090341	-0.007991	Main	true	true	WolfeSatisfied	230.1
5	5	0	-0.725932	1.000000	0.001188	20.639156	-0.007388	Main	true	true	WolfeSatisfied	230.9
6	6	0	-0.736567	1.000000	0.001183	15.027362	-0.005354	Main	true	true	WolfeSatisfied	243.0
7	7	0	-0.740157	1.000000	0.001219	15.887866	-0.007094	Main	true	true	WolfeSatisfied	234.1
8	8	0	-0.746027	1.000000	0.001171	13.386604	-0.006835	Main	true	true	WolfeSatisfied	230.0
9	9	0	-0.755352	1.000000	0.001315	21.179222	-0.000967	Main	true	true	WolfeSatisfied	246.0
10	10	0	-0.755445	1.000000	0.001171	12.799988	-0.007236	Main	true	true	WolfeSatisfied	233.1
11	11	0	-0.757566	1.000000	0.001162	17.268429	-0.006741	Main	true	true	WolfeSatisfied	231.3
12	12	0	-0.756904	1.000000	0.001149	11.773699	-0.006688	Main	true	true	WolfeSatisfied	259.7
13	13	0	-0.765202	1.000000	0.001139	28.288861	-0.006159	Main	true	true	WolfeSatisfied	233.1
14	14	0	-0.766669	1.000000	0.001282	15.769874	-0.002153	Main	true	true	WolfeSatisfied	238.1
15	15	0	-0.773523	1.000000	0.001173	17.957463	-0.006438	Main	true	true	WolfeSatisfied	243.5
16	16	0	-0.773768	1.000000	0.001216	12.343837	-0.004158	Main	true	true	WolfeSatisfied	245.1
17	17	0	-0.769807	1.000000	0.001174	9.360443	-0.005425	Main	true	true	WolfeSatisfied	237.3
18	18	0	-0.786833	1.000000	0.001139	15.111813	-0.005954	Main	true	true	WolfeSatisfied	245.0
19	19	0	-0.779351	1.000000	0.001099	11.327161	-0.002866	Main	true	true	WolfeSatisfied	265.7
20	20	0	-0.768048	1.000000	0.001127	11.366046	-0.005610	Main	true	true	WolfeSatisfied	233.5
21	21	0	-0.783637	1.000000	0.001188	12.679782	-0.004502	Main	true	true	WolfeSatisfied	240.3
22	22	0	-0.783186	1.000000	0.001086	11.351817	-0.003735	Main	true	true	WolfeSatisfied	229.7
23	23	0	-0.784926	1.000000	0.001119	16.109556	-0.004251	Main	true	true	WolfeSatisfied	269.6
24	24	0	-0.786772	1.000000	0.001095	15.514144	-0.001516	Main	true	true	WolfeSatisfied	249.9
25	25	0	-0.798948	1.000000	0.001048	15.258411	-0.004594	Main	true	true	WolfeSatisfied	232.8
26	26	0	-0.787041	1.000000	0.001187	12.281048	-0.001212	Main	true	true	WolfeSatisfied	233.8
27	27	0	-0.793911	1.000000	0.001102	8.308524	-0.003943	Main	true	true	WolfeSatisfied	246.7
28	28	0	-0.788973	1.000000	0.001087	14.999559	-0.004134	Main	true	true	WolfeSatisfied	236.8
29	29	0	-0.787613	1.000000	0.001089	11.310678	-0.003825	Main	true	true	WolfeSatisfied	232.0
30	30	0	-0.792121	1.000000	0.001122	19.818204	-0.002575	Main	true	true	WolfeSatisfied	257.3
