1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.399909	0.000000	25.691691	0.013866	1024.5
1	-0.391413	0.000000	25.691691	0.017884	4.1
2	-0.403681	0.000000	25.691691	0.018349	3.7
3	-0.435199	0.000000	25.691691	0.017890	4.1
4	-0.415259	0.000000	25.691691	0.018292	3.6
5	-0.425727	0.000000	25.691691	0.018685	4.0
6	-0.447767	0.000000	25.691691	0.016660	3.7
7	-0.423276	0.000000	25.691691	0.017634	3.8
8	-0.452376	0.000000	25.691691	0.018884	4.8
9	-0.499448	0.000000	25.691691	0.017788	4.0
10	-0.464914	0.000000	25.691691	0.020594	3.8
11	-0.458903	0.000000	25.691691	0.016477	3.7
12	-0.457534	0.000000	25.691691	0.016612	4.7
13	-0.471546	0.000000	25.691691	0.020091	3.7
14	-0.518508	0.000000	25.691691	0.018015	3.8
15	-0.501791	0.000000	25.691691	0.016246	3.9
16	-0.519756	0.000000	25.691691	0.018071	3.8
17	-0.527883	0.000000	25.691691	0.017642	5.4
18	-0.520321	0.000000	25.691691	0.018374	4.2
19	-0.534244	0.000000	25.691691	0.015068	4.7
20	-0.527811	0.000000	25.691691	0.015388	3.8
21	-0.546304	0.000000	25.691691	0.017273	3.6
22	-0.527012	0.000000	25.691691	0.013228	3.6
23	-0.543076	0.000000	25.691691	0.013993	3.7
24	-0.514903	0.000000	25.691691	0.012172	4.4
25	-0.544727	0.000000	25.691691	0.012054	3.8
26	-0.565825	0.000000	25.691691	0.017280	6.2
27	-0.583560	0.000000	25.691691	0.013624	5.1
28	-0.553751	0.000000	25.691691	0.016171	3.7
29	-0.571325	0.000000	25.691691	0.012383	4.2
30	-0.553097	0.000000	25.691691	0.013737	3.7
31	-0.577714	0.000000	25.691691	0.013529	4.1
32	-0.552712	0.000000	25.691691	0.013731	3.8
33	-0.562594	0.000000	25.691691	0.013131	4.1
34	-0.582665	0.000000	25.691691	0.016528	3.8
35	-0.569265	0.000000	25.691691	0.017502	6.6
36	-0.581223	0.000000	25.691691	0.015811	3.9
37	-0.586188	0.000000	25.691691	0.012577	3.8
38	-0.556016	0.000000	25.691691	0.016138	5.3
39	-0.582083	0.000000	25.691691	0.014812	3.9
40	-0.600798	0.000000	25.691691	0.017550	4.0
41	-0.564601	0.000000	25.691691	0.016844	3.8
42	-0.576069	0.000000	25.691691	0.011319	4.0
43	-0.600015	0.000000	25.691691	0.016863	4.9
44	-0.613159	0.000000	25.691691	0.018707	8.6
45	-0.624947	0.000000	25.691691	0.016723	7.4
46	-0.612977	0.000000	25.691691	0.017726	5.5
47	-0.638605	0.000000	25.691691	0.015990	4.6
48	-0.668897	0.000000	25.691691	0.022104	4.5
49	-0.611627	0.000000	25.691691	0.020320	3.9
50	-0.664237	0.000000	25.691691	0.019647	5.6
51	-0.665311	0.000000	25.691691	0.020291	5.8
52	-0.653433	0.000000	25.691691	0.018361	3.8
53	-0.716822	0.000000	25.691691	0.024353	5.1
54	-0.713620	0.000000	25.691691	0.027173	4.9
55	-0.703326	0.000000	25.691691	0.019438	4.9
56	-0.710841	0.000000	25.691691	0.021516	4.3
57	-0.717898	0.000000	25.691691	0.022729	3.9
