1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.036134	627.201626	0.009459	510.2
1	-0.247074	623.504937	0.004600	7.9
2	-0.408677	619.865785	0.003228	7.8
3	-0.917182	616.282728	0.006424	9.7
4	-0.555054	612.754375	0.005457	7.8
5	-0.866991	609.279381	0.007385	8.5
6	-0.767099	605.856447	0.008648	7.7
7	-0.381432	602.484317	0.007484	7.7
8	-0.702390	599.161779	0.005828	9.9
9	-0.722086	595.887656	0.008434	8.1
10	-0.691998	592.660813	0.008035	8.1
11	-0.219655	589.480151	0.004398	8.4
12	-0.367199	586.344606	0.005425	8.0
13	-0.416398	583.253145	0.003816	11.7
14	-0.403847	580.204771	0.003852	9.2
15	-0.709983	577.198517	0.009428	8.0
16	-0.778778	574.233444	0.008302	8.5
17	-0.848578	571.308645	0.009866	10.7
18	-0.577620	568.423237	0.007114	8.1
19	-0.836611	565.576365	0.008201	7.7
20	-0.168809	562.767201	0.005084	7.8
21	-0.263011	559.994938	0.003509	8.6
22	-0.800565	557.258797	0.008194	10.0
23	-0.977434	554.558018	0.008020	7.8
24	-0.355010	551.891865	0.004046	8.1
25	-0.955057	549.259621	0.006965	7.7
26	-1.052822	546.660592	0.006990	7.7
27	-0.982023	544.094102	0.006528	10.8
28	-0.235055	541.559494	0.002990	8.5
29	-0.927837	539.056129	0.005948	10.2
30	-0.772009	536.583387	0.006293	7.9
31	-0.717501	534.140663	0.008513	9.9
32	-0.903896	531.727370	0.008827	9.0
33	-0.757916	529.342935	0.010357	8.2
34	-0.988841	526.986802	0.009222	8.3
35	-0.393381	524.658430	0.005644	8.8
36	-0.708916	522.357290	0.007268	9.8
37	-1.028534	520.082868	0.007049	8.6
38	-1.091582	517.834665	0.007597	7.7
39	-0.741202	515.612193	0.008866	9.5
40	-0.346174	513.414976	0.004697	7.4
41	-0.852524	511.242551	0.008832	9.7
42	-1.077967	509.094468	0.007773	8.2
43	-1.092315	506.970285	0.008921	7.8
44	-0.610751	504.869574	0.008391	7.7
45	-1.060913	502.791916	0.008134	9.2
46	-0.882513	500.736903	0.009384	11.9
47	-0.234635	498.704137	0.003127	7.8
48	-1.038378	496.693228	0.007418	9.5
49	-1.029399	494.703798	0.006805	8.7
50	-0.020927	492.735476	0.001254	8.5
51	-1.069586	490.787900	0.006444	10.4
52	-0.863446	488.860718	0.009344	7.7
53	-0.415593	486.953585	0.006075	7.8
54	-0.883703	485.066164	0.009025	8.6
55	-0.535416	483.198126	0.005586	11.1
56	-1.029064	481.349149	0.006923	8.7
57	-0.719742	479.518920	0.008769	8.1
58	-1.032130	477.707132	0.007602	8.6
59	-0.779045	475.913485	0.006334	7.8
60	-0.751837	474.137684	0.008678	9.9
61	-1.077137	472.379445	0.009101	8.1
62	-0.715014	470.638485	0.007975	7.8
63	-1.112905	468.914531	0.010832	10.4
64	-0.643889	467.207315	0.005482	7.9
65	-0.782160	465.516573	0.008331	11.4
66	-0.184168	463.842050	0.003170	8.3
67	-0.633825	462.183494	0.007401	7.9
68	-0.869001	460.540658	0.009441	8.8
69	-0.783337	458.913303	0.008845	10.4
70	-0.794527	457.301192	0.008893	8.0
71	-0.837465	455.704096	0.005693	8.6
72	-0.512227	454.121787	0.005781	7.7
73	-0.715219	452.554045	0.008418	7.7
74	-0.796096	451.000653	0.009975	10.3
75	-0.255346	449.461399	0.004379	7.7
76	-0.860873	447.936075	0.009423	8.1
77	-0.970322	446.424477	0.007368	8.6
78	-0.547595	444.926406	0.005271	8.1
79	-0.384295	443.441666	0.003370	9.8
80	-0.622025	441.970065	0.007062	10.2
81	-1.106123	440.511415	0.007892	9.3
82	-0.747017	439.065533	0.007517	8.7
83	-0.910038	437.632238	0.008048	9.9
84	-0.944868	436.211351	0.006552	7.8
85	-0.971578	434.802701	0.007304	8.6
86	-0.196630	433.406117	0.003205	7.7
87	-0.314172	432.021430	0.005652	7.5
88	-1.058891	430.648479	0.007060	10.6
89	-0.241539	429.287101	0.006752	8.8
90	-0.834080	427.937140	0.009384	7.9
91	-0.888808	426.598440	0.009970	8.7
92	-0.679733	425.270849	0.008544	7.8
93	-1.029534	423.954220	0.008428	10.2
94	-1.170636	422.648404	0.010051	9.3
95	-0.147641	421.353259	0.004618	8.2
96	-0.906257	420.068643	0.006932	8.5
97	-1.039699	418.794419	0.008930	10.4
98	-0.747070	417.530451	0.007927	8.8
99	-1.192207	416.276604	0.008117	7.8
100	-0.084106	415.032748	0.002318	8.1
101	-0.687144	413.798754	0.006366	7.8
102	-0.352132	412.574495	0.004026	9.5
103	-0.680834	411.359849	0.006957	7.7
104	-1.051199	410.154691	0.008412	7.8
105	-0.651899	408.958904	0.008320	7.9
106	-0.784906	407.772368	0.007124	7.8
107	-0.869694	406.594968	0.006652	10.7
108	-1.017251	405.426590	0.011416	7.9
109	-0.854422	404.267122	0.008705	7.7
110	-0.298368	403.116456	0.004561	7.7
111	-0.346975	401.974481	0.005971	7.7
112	-1.162403	400.841093	0.007119	10.6
113	-1.030873	399.716187	0.007611	7.9
114	-0.640637	398.599660	0.009073	8.1
115	-0.842619	397.491411	0.007335	8.8
116	-0.230322	396.391342	0.006600	9.1
117	-0.768652	395.299353	0.007125	10.5
118	-0.824195	394.215350	0.008729	8.3
119	-0.941644	393.139238	0.008754	7.8
120	-0.629785	392.070924	0.005985	8.0
121	-0.362759	391.010316	0.003771	9.5
122	-1.222874	389.957325	0.009365	7.8
123	-0.189928	388.911862	0.003876	6.8
124	-0.766489	387.873839	0.006132	8.8
125	-0.950568	386.843173	0.008376	7.9
126	-0.513972	385.819777	0.005152	10.7
127	-0.635978	384.803569	0.005537	8.0
128	-0.571276	383.794468	0.007143	8.6
129	-0.957658	382.792393	0.006882	7.7
130	-0.000000	381.797264	0.000000	8.4
131	-0.198262	380.809005	0.005800	11.2
132	-0.000000	379.827537	0.000000	7.9
133	-1.032231	378.852786	0.007737	8.9
134	-1.084043	377.884678	0.007370	7.8
135	-1.052831	376.923138	0.008058	7.6
136	-1.034012	375.968095	0.008348	10.6
137	-0.807267	375.019479	0.009114	7.9
138	-0.996320	374.077218	0.007196	7.7
139	-1.032304	373.141244	0.009658	7.7
140	-0.700072	372.211489	0.006451	7.7
141	-1.026510	371.287887	0.010096	10.3
142	-0.580009	370.370370	0.005292	7.8
143	-0.452810	369.458876	0.005727	7.7
144	-1.083192	368.553338	0.007475	7.9
145	-0.828795	367.653696	0.005421	7.8
146	-0.832087	366.759885	0.004809	10.4
147	-0.547587	365.871846	0.007655	8.3
148	-0.900755	364.989518	0.012320	9.5
149	-0.752750	364.112841	0.007831	8.0
150	-0.842839	363.241757	0.006620	9.8
151	-0.716015	362.376208	0.008968	9.2
152	-0.566579	361.516137	0.005678	8.2
153	-0.795921	360.661488	0.007839	8.7
154	-0.741131	359.812206	0.011027	7.8
155	-0.991225	358.968236	0.005353	10.8
156	-0.949411	358.129524	0.008704	7.9
157	-1.056133	357.296018	0.006755	7.8
158	-0.170818	356.467665	0.002857	8.9
159	-0.737875	355.644414	0.008399	7.8
160	-0.829526	354.826213	0.006778	10.0
161	-0.826959	354.013012	0.006082	7.7
162	-0.445904	353.204763	0.005736	8.8
163	-0.934917	352.401415	0.006100	8.2
164	-0.459258	351.602922	0.005538	7.2
165	-0.649820	350.809235	0.008825	11.4
166	-1.132030	350.020308	0.010917	7.7
167	-0.838012	349.236095	0.009580	8.8
168	-0.522602	348.456550	0.004974	8.8
169	-1.115123	347.681627	0.007631	8.3
170	-1.106810	346.911283	0.007286	9.7
171	-1.024460	346.145474	0.007345	7.9
172	-0.510582	345.384157	0.006396	7.8
173	-1.114828	344.627288	0.009972	7.8
174	-0.743380	343.874826	0.010345	8.7
175	-1.241520	343.126729	0.009600	9.2
176	-0.069845	342.382957	0.001246	7.9
177	-1.129368	341.643469	0.008012	7.7
178	-1.037419	340.908224	0.007217	7.7
179	-1.157615	340.177184	0.007065	10.5
180	-1.154760	339.450309	0.009266	8.1
181	-0.702124	338.727561	0.004665	13.4
182	-0.813677	338.008902	0.009997	10.6
183	-0.785549	337.294295	0.007847	10.1
184	-0.809556	336.583703	0.008220	8.7
185	-1.112471	335.877089	0.007069	8.0
186	-0.138030	335.174416	0.003458	7.8
187	-0.846693	334.475651	0.007913	7.7
188	-0.956917	333.780756	0.011134	10.2
189	-1.091751	333.089698	0.009771	7.9
190	-1.005664	332.402443	0.006253	8.6
191	-1.015200	331.718955	0.006313	7.8
192	-1.087194	331.039203	0.006919	7.7
193	-0.236584	330.363153	0.002625	9.9
194	-0.880054	329.690771	0.006871	7.7
195	-1.094545	329.022027	0.006733	7.8
196	-0.685199	328.356888	0.006751	7.7
197	-0.816731	327.695322	0.008635	7.7
198	-0.028172	327.037299	0.002047	11.6
199	-0.558861	326.382787	0.007733	10.4
200	-0.801613	325.731758	0.007345	8.7
201	-0.455850	325.084179	0.003642	9.1
202	-1.141946	324.440023	0.011197	8.8
203	-0.475371	323.799258	0.003427	9.6
204	-1.104118	323.161858	0.008267	7.9
205	-0.806060	322.527792	0.008694	7.6
206	-0.546042	321.897034	0.005383	8.1
207	-1.144651	321.269554	0.009081	14.5
208	-0.988725	320.645325	0.009398	8.2
209	-0.566199	320.024320	0.005171	8.4
210	-1.053017	319.406512	0.008963	7.1
211	-1.170143	318.791875	0.007529	7.7
212	-1.162363	318.180381	0.008160	9.8
213	-0.328405	317.572005	0.004909	7.8
214	-1.075739	316.966721	0.006598	8.2
215	-0.727414	316.364504	0.004993	7.7
216	-1.005806	315.765329	0.006114	8.0
217	-0.850328	315.169170	0.009835	11.7
218	-0.530431	314.576003	0.003908	7.8
219	-0.701060	313.985804	0.008270	7.4
220	-1.170905	313.398548	0.008765	7.9
221	-0.971066	312.814213	0.010527	7.6
222	-1.312711	312.232773	0.011277	10.3
223	-0.813019	311.654207	0.005311	7.8
224	-0.039726	311.078491	0.002645	7.7
225	-0.725494	310.505602	0.005437	7.9
226	-0.808380	309.935518	0.006929	7.7
227	-0.968791	309.368217	0.008886	12.4
228	-1.011274	308.803676	0.009297	7.7
229	-0.623094	308.241874	0.005272	8.0
230	-1.143743	307.682789	0.007942	7.8
231	-0.878790	307.126400	0.008830	7.8
232	-0.428458	306.572687	0.005959	11.2
233	-0.537624	306.021627	0.006061	9.0
234	-0.446845	305.473201	0.004605	8.0
235	-0.176696	304.927388	0.003450	8.8
236	-1.123938	304.384168	0.007129	7.7
237	-0.796158	303.843521	0.008296	11.8
238	-1.129407	303.305427	0.008361	10.0
239	-0.592971	302.769867	0.006476	8.4
240	-1.007148	302.236821	0.007573	7.8
241	-1.088714	301.706270	0.007376	10.1
242	-0.723928	301.178196	0.009328	8.0
243	-0.955287	300.652580	0.008291	7.7
244	-0.930961	300.129402	0.010579	7.6
245	-0.505144	299.608645	0.004184	8.5
246	-1.023713	299.090291	0.008363	9.0
247	-0.775185	298.574321	0.005231	7.6
248	-0.838130	298.060718	0.008187	7.8
249	-0.865090	297.549465	0.007317	7.8
250	-0.583828	297.040543	0.005277	11.5
251	-0.906075	296.533936	0.007869	7.7
252	-0.905938	296.029626	0.006632	9.4
253	-0.785125	295.527597	0.007075	7.1
254	-1.140451	295.027832	0.007060	8.1
255	-1.105335	294.530315	0.007257	10.2
256	-0.671047	294.035028	0.007399	7.7
257	-1.146623	293.541956	0.008210	7.7
258	-1.004958	293.051083	0.008945	7.8
259	-0.028882	292.562393	0.003035	7.7
260	-0.869125	292.075870	0.006032	10.2
261	-1.140108	291.591498	0.007470	7.7
262	-1.023690	291.109263	0.005957	7.8
263	-0.346865	290.629149	0.004676	7.5
264	-0.313788	290.151140	0.004544	8.0
265	-0.218915	289.675222	0.005740	10.4
266	-1.066489	289.201380	0.008332	8.0
